text,label
Nightmares about past events disturb my sleep.,PTSD
Nightmares about past events disturb my sleep.,PTSD
I feel disconnected from people around me.,PTSD
Sudden movements make me jump and panic.,PTSD
Sudden movements make me jump and panic.,PTSD
I feel tense and alert all the time.,PTSD
Sudden movements make me jump and panic.,PTSD
Loud noises trigger intense flashbacks.,PTSD
I can't stop thinking about what happened to me.,PTSD
I avoid places that remind me of my trauma.,PTSD
I constantly relive the trauma I experienced.,PTSD
I constantly relive the trauma I experienced.,PTSD
I can't stop thinking about what happened to me.,PTSD
I feel disconnected from people around me.,PTSD
I constantly relive the trauma I experienced.,PTSD
I can't stop thinking about what happened to me.,PTSD
Loud noises trigger intense flashbacks.,PTSD
Nightmares about past events disturb my sleep.,PTSD
Loud noises trigger intense flashbacks.,PTSD
I avoid places that remind me of my trauma.,PTSD
I constantly relive the trauma I experienced.,PTSD
I can't stop thinking about what happened to me.,PTSD
Nightmares about past events disturb my sleep.,PTSD
I feel disconnected from people around me.,PTSD
Sudden movements make me jump and panic.,PTSD
Loud noises trigger intense flashbacks.,PTSD
Nightmares about past events disturb my sleep.,PTSD
I avoid places that remind me of my trauma.,PTSD
I feel disconnected from people around me.,PTSD
I can't stop thinking about what happened to me.,PTSD
I feel disconnected from people around me.,PTSD
Loud noises trigger intense flashbacks.,PTSD
Loud noises trigger intense flashbacks.,PTSD
Crowded spaces make me anxious after the incident.,PTSD
I constantly relive the trauma I experienced.,PTSD
I avoid places that remind me of my trauma.,PTSD
Crowded spaces make me anxious after the incident.,PTSD
I feel tense and alert all the time.,PTSD
I find it hard to trust anyone anymore.,PTSD
I find it hard to trust anyone anymore.,PTSD
I constantly relive the trauma I experienced.,PTSD
I can't stop thinking about what happened to me.,PTSD
I feel disconnected from people around me.,PTSD
I feel tense and alert all the time.,PTSD
I avoid places that remind me of my trauma.,PTSD
Loud noises trigger intense flashbacks.,PTSD
I avoid places that remind me of my trauma.,PTSD
Loud noises trigger intense flashbacks.,PTSD
I feel disconnected from people around me.,PTSD
I feel tense and alert all the time.,PTSD
I avoid places that remind me of my trauma.,PTSD
Crowded spaces make me anxious after the incident.,PTSD
I feel tense and alert all the time.,PTSD
Loud noises trigger intense flashbacks.,PTSD
Nightmares about past events disturb my sleep.,PTSD
I constantly relive the trauma I experienced.,PTSD
Sudden movements make me jump and panic.,PTSD
I can't stop thinking about what happened to me.,PTSD
I constantly relive the trauma I experienced.,PTSD
I constantly relive the trauma I experienced.,PTSD
I feel disconnected from people around me.,PTSD
I avoid places that remind me of my trauma.,PTSD
Sudden movements make me jump and panic.,PTSD
I can't stop thinking about what happened to me.,PTSD
Crowded spaces make me anxious after the incident.,PTSD
Sudden movements make me jump and panic.,PTSD
Sudden movements make me jump and panic.,PTSD
I avoid places that remind me of my trauma.,PTSD
I feel disconnected from people around me.,PTSD
Crowded spaces make me anxious after the incident.,PTSD
Loud noises trigger intense flashbacks.,PTSD
I feel disconnected from people around me.,PTSD
I avoid places that remind me of my trauma.,PTSD
I feel disconnected from people around me.,PTSD
I feel disconnected from people around me.,PTSD
I constantly relive the trauma I experienced.,PTSD
I feel disconnected from people around me.,PTSD
I avoid places that remind me of my trauma.,PTSD
Crowded spaces make me anxious after the incident.,PTSD
I find it hard to trust anyone anymore.,PTSD
Crowded spaces make me anxious after the incident.,PTSD
I feel tense and alert all the time.,PTSD
I constantly relive the trauma I experienced.,PTSD
I feel disconnected from people around me.,PTSD
I find it hard to trust anyone anymore.,PTSD
Loud noises trigger intense flashbacks.,PTSD
Sudden movements make me jump and panic.,PTSD
Crowded spaces make me anxious after the incident.,PTSD
Crowded spaces make me anxious after the incident.,PTSD
Sudden movements make me jump and panic.,PTSD
Loud noises trigger intense flashbacks.,PTSD
Sudden movements make me jump and panic.,PTSD
